No,DPO equation,BG,IP,EA,smiles
P7.14,2-a+2*b+d+d*(1-a),3.131,5.306,2.175,c12cc3ccc4c5cc6ccccc6cc5c7ccccc7c4c3cc1cccc2
P7.15,2-a+2*b+2*d*b,3.716,5.709,1.993,c1(ccccc1cc2c3cc4ccccc4cc53)cc2c6c5cc7ccccc7c6
P7.16,2-a+2*b+d*b+d*d,3.667,5.555,1.888,c12ccccc1c3cc4ccc5cc6c7ccccc7ccc6cc5c4cc3cc2
P7.17,1+2*b+d+d+b*d,4.002,5.692,1.69,c12ccc3c4ccc5c6ccc7ccccc7c6ccc5c4ccc3c1cccc2
P7.18,1+3*b+2*d,3.885,5.683,1.798,c1(ccccc1ccc2c34)c2ccc3c5ccc6ccccc6c5c7c4cccc7
P7.19,1+3*b+c+d,4.081,5.801,1.72,c1(ccccc1c2ccc3c4ccccc4c5c6cccc5)c7c(c2c63)cccc7
P8.1,6-15*a+b,1.5730000000000002,4.592,3.019,c1(ccccc1cc2cc3cc4cc5cc6cc7)cc2cc3cc4cc5cc6c8c7cccc8
P8.2,5-10*a+b+d*b,1.954,4.78,2.826,c1(ccccc1cc2cc3cc4cc5cc6)cc2cc3cc4cc5c7c6cc8ccccc8c7
P8.3,5-10*a+b+d,1.84,4.725,2.885,c1(ccccc1cc2cc3cc4cc5cc6)cc2cc3cc4cc5c7c6c8ccccc8cc7
P8.4,4-6*a+b+d+d*(1-a),2.173,4.885,2.712,c1(ccccc1cc2cc3cc4cc5)cc2cc3cc4c6c5c7cc8ccccc8cc7cc6
P8.5,4-6*a+b+c+d*c,2.14,4.856,2.716,c1(ccccc1cc2cc3cc4cc5)cc2cc3cc4c6c5ccc7cc8ccccc8cc67
P8.6,3-3*a+b+c+d*c+c*d*d,2.331,4.945,2.614,c1(ccccc1cc2cc3cc4)cc2cc3c5c4ccc6cc7cc8ccccc8cc7cc56
P8.7,3-3*a+b+d*b+d*d+(1-a)*d*d,2.8310000000000004,5.202,2.371,c1(ccccc1cc2cc3cc4)cc2cc3c5c4cc6c7cc8ccccc8cc7ccc6c5
P8.8,2-a+2*b+d+d+d*(1-a),3.117,5.327,2.21,c1(ccccc1cc2cc3)cc2c4c3c5cc6ccc7c8ccccc8ccc7c6cc5cc4
P8.9,5-10*a+2*b,1.955,4.783,2.828,c1(ccccc1cc2cc3cc4cc5c6ccccc76)cc2cc3cc4cc5c8c7cccc8
P8.10,3-3*a+4*b,3.2910000000000004,5.46,2.171,c(c1cc2cc3c4ccccc54)(c6ccccc6c7ccccc17)cc2cc3c8c5cccc8
P8.11,3-3*a+3*b+d,3.027,5.31,2.283,c12cc3cc4ccc5c6ccccc6ccc5c4cc3cc1c7ccccc7c8c2cccc8
P8.12,1+2*b+d+d+d*b+d*d,3.908,5.66,1.752,c12ccccc1c3ccc4c5ccc6c7ccc8ccccc8c7ccc6c5ccc4c3cc2
P8.13,3-3*a+2*b+d+d*b,2.939,5.238,2.299,c12cc3cc4ccccc4cc3cc1c5ccccc5c6c2ccc7ccc8ccccc8c67
P8.14,4-6*a+b+d*b+b*d*d,2.428,5.013,2.585,c1(cc2ccccc2cc1cc3cc4cc5)cc3cc4c6c5cc7cc8ccccc8cc7c6
P8.15,5-10*a+2*b,2.029,4.817,2.788,c1(ccc2ccccc2c1cc3cc4cc5cc6cc7)cc3cc4cc5cc6c8c7cccc8
F7.1,5 - 10*a + b + -af,2.116,4.828,2.712,s1ccc2cc3cc4cc5c(cc4cc3cc12)cc1c(ccc2c1cccc2)c5
F7.2,4 - 6*a + b + b*d + -af,2.678,5.079,2.401,s1ccc2c1cc1cc3cc4c(ccc5c4cc4ccccc4c5)cc3cc1c2
F7.3,4 - 6*a + b + d + -af,2.502,5.006,2.504,s1ccc2cc3c(cc12)cc1cc2c(ccc4c2ccc2c4cccc2)cc1c3
F7.4,3 - 3*a + b + d + d*(1-a) + -af,2.877,5.17,2.292,s1ccc2c1cc1cc3c(ccc4c3ccc3c4cc4ccccc4c3)cc1c2
F7.5,4 - 6*a + b + -af + b0,2.643,5.106,2.463,s1c2cc3cc4cc5c(cc4cc3cc2c2c1cccc2)c1ccccc1cc5
F7.6,3 - 3*a + b + b*d + 1*d*d + -af,3.25,5.335,2.085,s1ccc2c1cc1cc3c(ccc4c3cc3ccc5c(cccc5)c3c4)cc1c2
F7.7,3 - 3*a + b + d + b*d + -af,3.099,5.254,2.155,s1ccc2cc3c(cc12)cc1c(ccc2c1ccc1c2c2c(cccc2)cc1)c3
F7.8,3 - 3*a + b + b*d + -af + b0,3.348,5.447,2.1,s1c2cc3cc4c(cc3cc2c2c1cccc2)c1cc2ccccc2cc1cc4
F7.9,3 - 3*a + b + c + d + -af,2.977,5.182,2.205,s1ccc2cc3c(cc12)cc1c(ccc2c1c1ccccc1c1c2cccc1)c3
F7.10,3 - 3*a + b + -af + 2*b0,3.231,5.446,2.215,s1c2cc3cc4c(cc3cc2c2c1cc1ccccc1c2)c1c(cccc1)cc4
F7.11,3 - 3*a + b + d + b*d + -af,3.132,5.284,2.152,s1ccc2cc3c(cc12)cc1c(ccc2c1ccc1c2ccc2c1cccc2)c3
F7.12,3 - 3*a + b + d + -af + b0,3.114,5.326,2.212,s1c2cc3cc4c(cc3cc2c2c1cccc2)c1c(cc4)c2c(cccc2)cc1
F7.13,3 - 3*a + 2*b + d + -af,3.247,5.328,2.081,s1ccc2cc3cc4c5ccc6c(cccc6)c5c5ccccc5c4cc3cc12
